y	TW	VSa
	TW	CSc
	TW	HCo
	TW	RBa
	TW	FOl
y	CD	ACa
y	CD	SCa
y	CD	LMo
y	CD	YCo
	CD	RCa
y	DS	TNu
	DS	MPe
	DS	MPa
	IN	DLi
	IN	JVo
	IN	EEi
y	MU	VSo
	MM	ARi
	MM	RLi
	ET	JPi
